entrez,symbol,term_id,term_name,source
81569,ACTL8,CXXX,No diseases associated,PSYGENET
284382,ACTL9,CXXX,No diseases associated,PSYGENET
170487,ACTL10,CXXX,No diseases associated,PSYGENET
87,ACTN1,CXXX,No diseases associated,PSYGENET
88,ACTN2,CXXX,No diseases associated,PSYGENET
89,ACTN3,CXXX,No diseases associated,PSYGENET
81,ACTN4,CXXX,No diseases associated,PSYGENET
10121,ACTR1A,CXXX,No diseases associated,PSYGENET
10120,ACTR1B,CXXX,No diseases associated,PSYGENET
10096,ACTR3,CXXX,No diseases associated,PSYGENET
57180,ACTR3B,CXXX,No diseases associated,PSYGENET
653857,ACTR3C,CXXX,No diseases associated,PSYGENET
79913,ACTR5,CXXX,No diseases associated,PSYGENET
64431,ACTR6,CXXX,No diseases associated,PSYGENET
93973,ACTR8,CXXX,No diseases associated,PSYGENET
55860,ACTR10,CXXX,No diseases associated,PSYGENET
139741,ACTRT1,CXXX,No diseases associated,PSYGENET
140625,ACTRT2,CXXX,No diseases associated,PSYGENET
84517,ACTRT3,CXXX,No diseases associated,PSYGENET
90,ACVR1,CXXX,No diseases associated,PSYGENET
91,ACVR1B,CXXX,No diseases associated,PSYGENET
130399,ACVR1C,CXXX,No diseases associated,PSYGENET
92,ACVR2A,CXXX,No diseases associated,PSYGENET
93,ACVR2B,CXXX,No diseases associated,PSYGENET
94,ACVRL1,CXXX,No diseases associated,PSYGENET
95,ACY1,CXXX,No diseases associated,PSYGENET
91703,ACY3,CXXX,No diseases associated,PSYGENET
97,ACYP1,CXXX,No diseases associated,PSYGENET
98,ACYP2,CXXX,No diseases associated,PSYGENET
100,ADA,CXXX,No diseases associated,PSYGENET
51816,ADA2,CXXX,No diseases associated,PSYGENET
132612,ADAD1,CXXX,No diseases associated,PSYGENET
161931,ADAD2,CXXX,No diseases associated,PSYGENET
161823,ADAL,CXXX,No diseases associated,PSYGENET
2515,ADAM2,CXXX,No diseases associated,PSYGENET
8756,ADAM7,CXXX,No diseases associated,PSYGENET
101,ADAM8,CXXX,No diseases associated,PSYGENET
8754,ADAM9,CXXX,No diseases associated,PSYGENET
102,ADAM10,CXXX,No diseases associated,PSYGENET
4185,ADAM11,CXXX,No diseases associated,PSYGENET
8751,ADAM15,CXXX,No diseases associated,PSYGENET
6868,ADAM17,CXXX,No diseases associated,PSYGENET
8749,ADAM18,CXXX,No diseases associated,PSYGENET
8728,ADAM19,CXXX,No diseases associated,PSYGENET
8748,ADAM20,CXXX,No diseases associated,PSYGENET
8747,ADAM21,CXXX,No diseases associated,PSYGENET
53616,ADAM22,CXXX,No diseases associated,PSYGENET
8745,ADAM23,CXXX,No diseases associated,PSYGENET
10863,ADAM28,CXXX,No diseases associated,PSYGENET
11086,ADAM29,CXXX,No diseases associated,PSYGENET
11085,ADAM30,CXXX,No diseases associated,PSYGENET
203102,ADAM32,CXXX,No diseases associated,PSYGENET
80332,ADAM33,CXXX,No diseases associated,PSYGENET
