entrez,symbol,term_id,term_name,source
675,BRCA2,C0030297,Pancreatic Neoplasm,CGI
675,BRCA2,C0235974,Pancreatic carcinoma,CGI
675,BRCA2,C0242379,Malignant neoplasm of lung,CGI
675,BRCA2,C0346647,Malignant neoplasm of pancreas,CGI
675,BRCA2,C0347284,Benign tumor of pancreas,CGI
675,BRCA2,C0496920,Neoplasm of uncertain or unknown behavior of ovary,CGI
675,BRCA2,C0496956,Neoplasm of uncertain or unknown behavior of breast,CGI
675,BRCA2,C0678222,Breast Carcinoma,CGI
675,BRCA2,C0684249,Carcinoma of lung,CGI
675,BRCA2,C0858252,Breast adenocarcinoma,CGI
675,BRCA2,C0919267,ovarian neoplasm,CGI
675,BRCA2,C1140680,Malignant neoplasm of ovary,CGI
695,BTK,C0006142,Malignant neoplasm of breast,CGI
695,BTK,C0023434,Chronic Lymphocytic Leukemia,CGI
695,BTK,C0496956,Neoplasm of uncertain or unknown behavior of breast,CGI
695,BTK,C0678222,Breast Carcinoma,CGI
695,BTK,C0858252,Breast adenocarcinoma,CGI
701,BUB1B,C0035412,Rhabdomyosarcoma,CGI
841,CASP8,C0006142,Malignant neoplasm of breast,CGI
841,CASP8,C0496956,Neoplasm of uncertain or unknown behavior of breast,CGI
841,CASP8,C0585362,Squamous cell carcinoma of mouth,CGI
841,CASP8,C0678222,Breast Carcinoma,CGI
841,CASP8,C0858252,Breast adenocarcinoma,CGI
841,CASP8,C2239176,Liver carcinoma,CGI
843,CASP10,C0024305,"Lymphoma, Non-Hodgkin",CGI
843,CASP10,C0024623,Malignant neoplasm of stomach,CGI
843,CASP10,C0153943,Benign neoplasm of stomach,CGI
843,CASP10,C0154060,Carcinoma in situ of stomach,CGI
843,CASP10,C0496905,Neoplasm of uncertain or unknown behavior of stomach,CGI
843,CASP10,C0699791,Stomach Carcinoma,CGI
861,RUNX1,C0023467,"Leukemia, Myelocytic, Acute",CGI
867,CBL,C0023467,"Leukemia, Myelocytic, Acute",CGI
867,CBL,C0027019,Myelomonocytic leukemia,CGI
868,CBLB,C0023467,"Leukemia, Myelocytic, Acute",CGI
894,CCND2,C0242379,Malignant neoplasm of lung,CGI
894,CCND2,C0684249,Carcinoma of lung,CGI
898,CCNE1,C0029925,Ovarian Carcinoma,CGI
898,CCNE1,C0496920,Neoplasm of uncertain or unknown behavior of ovary,CGI
898,CCNE1,C0919267,ovarian neoplasm,CGI
898,CCNE1,C1140680,Malignant neoplasm of ovary,CGI
973,CD79A,C0024305,"Lymphoma, Non-Hodgkin",CGI
973,CD79A,C0079744,Diffuse Large B-Cell Lymphoma,CGI
974,CD79B,C0024305,"Lymphoma, Non-Hodgkin",CGI
974,CD79B,C0079744,Diffuse Large B-Cell Lymphoma,CGI
999,CDH1,C0024623,Malignant neoplasm of stomach,CGI
999,CDH1,C0153943,Benign neoplasm of stomach,CGI
999,CDH1,C0154060,Carcinoma in situ of stomach,CGI
999,CDH1,C0206692,"Carcinoma, Lobular",CGI
999,CDH1,C0496905,Neoplasm of uncertain or unknown behavior of stomach,CGI
999,CDH1,C0699791,Stomach Carcinoma,CGI
1017,CDK2,C0019829,Hodgkin Disease,CGI
1017,CDK2,C0079744,Diffuse Large B-Cell Lymphoma,CGI
1017,CDK2,C1332201,Adult Diffuse Large B-Cell Lymphoma,CGI
1019,CDK4,C0023827,liposarcoma,CGI
1019,CDK4,C0025202,melanoma,CGI
1019,CDK4,C0151779,Cutaneous Melanoma,CGI
1021,CDK6,C0023827,liposarcoma,CGI
1027,CDKN1B,C0006142,Malignant neoplasm of breast,CGI
1027,CDKN1B,C0032000,Pituitary Adenoma,CGI
1027,CDKN1B,C0262587,Parathyroid Adenoma,CGI
1027,CDKN1B,C0496956,Neoplasm of uncertain or unknown behavior of breast,CGI
1027,CDKN1B,C0678222,Breast Carcinoma,CGI
1027,CDKN1B,C0858252,Breast adenocarcinoma,CGI
1027,CDKN1B,C1336005,Small Intestinal Neuroendocrine Neoplasm,CGI
1029,CDKN2A,C0017638,Glioma,CGI
1029,CDKN2A,C0025202,melanoma,CGI
1029,CDKN2A,C0030297,Pancreatic Neoplasm,CGI
1029,CDKN2A,C0151779,Cutaneous Melanoma,CGI
1029,CDKN2A,C0235974,Pancreatic carcinoma,CGI
1029,CDKN2A,C0346647,Malignant neoplasm of pancreas,CGI
1029,CDKN2A,C0347284,Benign tumor of pancreas,CGI
1030,CDKN2B,C0017638,Glioma,CGI
1031,CDKN2C,C0017638,Glioma,CGI
1031,CDKN2C,C0026764,Multiple Myeloma,CGI
1050,CEBPA,C0023467,"Leukemia, Myelocytic, Acute",CGI
1316,KLF6,C0007112,Adenocarcinoma of prostate,CGI
