entrez,symbol,term_id,term_name,source
1281,COL3A1,C0268338,"Ehlers-Danlos Syndrome, Type IV",CLINGEN
1281,COL3A1,C4707243,Familial thoracic aortic aneurysm and aortic dissection,CLINGEN
1287,COL4A5,C1567741,Alport Syndrome,CLINGEN
1288,COL4A6,C3806737,"DEAFNESS, X-LINKED 6",CLINGEN
1297,COL9A1,C0265253,Stickler syndrome (disorder),CLINGEN
1298,COL9A2,C0265253,Stickler syndrome (disorder),CLINGEN
1299,COL9A3,C0265253,Stickler syndrome (disorder),CLINGEN
1302,COL11A2,C1848488,Pierre Robin syndrome with fetal chondrodysplasia,CLINGEN
1302,COL11A2,C3711374,Nonsyndromic Deafness,CLINGEN
1302,COL11A2,C4520892,Otospondylomegaepiphyseal dysplasia,CLINGEN
1352,COX10,C0023264,Leigh Disease,CLINGEN
1352,COX10,C1838951,LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY,CLINGEN
1352,COX10,C1850597,Leigh Syndrome Due To Mitochondrial Complex II Deficiency,CLINGEN
1352,COX10,C1850598,Leigh Syndrome due to Mitochondrial Complex III Deficiency,CLINGEN
1352,COX10,C1850599,Leigh Syndrome due to Mitochondrial Complex IV Deficiency,CLINGEN
1352,COX10,C1850600,Leigh Syndrome due to Mitochondrial Complex V Deficiency,CLINGEN
1352,COX10,C2931891,"Necrotizing encephalopathy, infantile subacute, of Leigh",CLINGEN
1355,COX15,C0023264,Leigh Disease,CLINGEN
1355,COX15,C1838951,LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY,CLINGEN
1355,COX15,C1850597,Leigh Syndrome Due To Mitochondrial Complex II Deficiency,CLINGEN
1355,COX15,C1850598,Leigh Syndrome due to Mitochondrial Complex III Deficiency,CLINGEN
1355,COX15,C1850599,Leigh Syndrome due to Mitochondrial Complex IV Deficiency,CLINGEN
1355,COX15,C1850600,Leigh Syndrome due to Mitochondrial Complex V Deficiency,CLINGEN
1355,COX15,C2931891,"Necrotizing encephalopathy, infantile subacute, of Leigh",CLINGEN
1373,CPS1,C0751753,Carbamoyl-Phosphate Synthase I Deficiency Disease,CLINGEN
1374,CPT1A,C1829703,Carnitine palmitoyl transferase 1A deficiency,CLINGEN
1376,CPT2,C0342790,Carnitine palmitoyl transferase 2 deficiency,CLINGEN
1387,CREBBP,C0035934,Rubinstein-Taybi Syndrome,CLINGEN
1387,CREBBP,C4551859,RUBINSTEIN-TAYBI SYNDROME 1,CLINGEN
1428,CRYM,C4084708,"DEAFNESS, AUTOSOMAL DOMINANT 40",CLINGEN
1491,CTH,C0268616,Gamma-cystathionase deficiency,CLINGEN
1491,CTH,C3495552,Cystathionase Deficiency,CLINGEN
1495,CTNNA1,C1112155,Hereditary non-polyposis colorectal cancer syndrome,CLINGEN
1495,CTNNA1,C1333990,Hereditary Nonpolyposis Colorectal Cancer,CLINGEN
1495,CTNNA1,C1333991,Hereditary Non-Polyposis Colon Cancer Type 2,CLINGEN
1495,CTNNA1,C2936783,"Colorectal cancer, hereditary nonpolyposis, type 1",CLINGEN
1540,CYLD,C1857941,Brooke-Spiegler syndrome,CLINGEN
1629,DBT,C0024776,Maple Syrup Urine Disease,CLINGEN
1643,DDB2,C1848411,"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP E",CLINGEN
1674,DES,C1832370,"MYOPATHY, MYOFIBRILLAR, DESMIN-RELATED",CLINGEN
1678,TIMM8A,C0796074,MOHR-TRANEBJAERG SYNDROME,CLINGEN
1687,GSDME,C0452138,"Sensorineural hearing loss, bilateral",CLINGEN
1687,GSDME,C1852282,"DEAFNESS, AUTOSOMAL DOMINANT 1 (disorder)",CLINGEN
1690,COCH,C3711374,Nonsyndromic Deafness,CLINGEN
1717,DHCR7,C0175694,Smith-Lemli-Opitz Syndrome,CLINGEN
1729,DIAPH1,C1852282,"DEAFNESS, AUTOSOMAL DOMINANT 1 (disorder)",CLINGEN
1738,DLD,C0268193,NADH cytochrome B5 reductase deficiency,CLINGEN
1741,DLG3,C3501611,"Mental Retardation, X-Linked Nonsyndromic",CLINGEN
1759,DNM1,C0393706,Early infantile epileptic encephalopathy with suppression bursts,CLINGEN
1759,DNM1,C3463992,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1",CLINGEN
1759,DNM1,C4552072,X-linked infantile spasms,CLINGEN
1785,DNM2,C1834558,"Myopathy, Centronuclear, Autosomal Dominant",CLINGEN
1786,DNMT1,C3807295,"CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT",CLINGEN
1832,DSP,C0007194,Hypertrophic Cardiomyopathy,CLINGEN
1834,DSPP,C0011436,Dentinogenesis Imperfecta,CLINGEN
1892,ECHS1,C4225391,MITOCHONDRIAL SHORT-CHAIN ENOYL-CoA HYDRATASE 1 DEFICIENCY,CLINGEN
1908,EDN3,C2750457,"Waardenburg Syndrome, Type 4b",CLINGEN
1910,EDNRB,C1848519,"WAARDENBURG SYNDROME, TYPE 4A",CLINGEN
2022,ENG,C0039445,Hereditary hemorrhagic telangiectasia,CLINGEN
2022,ENG,C0345893,Juvenile polyposis syndrome,CLINGEN
2022,ENG,C1832940,JUVENILE POLYPOSIS OF STOMACH,CLINGEN
2022,ENG,C1868081,Juvenile Polyposis Coli,CLINGEN
2034,EPAS1,C1708353,Hereditary Paraganglioma-Pheochromocytoma Syndrome,CLINGEN
2052,EPHX1,C1112155,Hereditary non-polyposis colorectal cancer syndrome,CLINGEN
2052,EPHX1,C1333990,Hereditary Nonpolyposis Colorectal Cancer,CLINGEN
2052,EPHX1,C1333991,Hereditary Non-Polyposis Colon Cancer Type 2,CLINGEN
2052,EPHX1,C2936783,"Colorectal cancer, hereditary nonpolyposis, type 1",CLINGEN
2059,EPS8,C1846647,"DEAFNESS, AUTOSOMAL RECESSIVE (disorder)",CLINGEN
2068,ERCC2,C0268138,"Xeroderma Pigmentosum, Complementation Group D",CLINGEN
2070,EYA4,C3711374,Nonsyndromic Deafness,CLINGEN
2071,ERCC3,C0268136,"Xeroderma pigmentosum, group B",CLINGEN
2072,ERCC4,C0268140,"Xeroderma pigmentosum, group F",CLINGEN
2073,ERCC5,C0268141,"Xeroderma pigmentosum, group G",CLINGEN
2103,ESRRB,C3711374,Nonsyndromic Deafness,CLINGEN
